country,continent,year,lifeExpectancy,population,gdpPerCapita
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Albania,Europe,1952,55.23,1282697,1601.056136
Albania,Europe,1957,59.28,1476505,1942.284244
Albania,Europe,1962,64.82,1728137,2312.888958
Albania,Europe,1967,66.22,1984060,2760.196931
Albania,Europe,1972,67.69,2263554,3313.422188
Albania,Europe,1977,68.93,2509048,3533.00391
Albania,Europe,1982,70.42,2780097,3630.880722
Albania,Europe,1987,72,3075321,3738.932735
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Albania,Europe,2002,75.651,3508512,4604.211737
Albania,Europe,2007,76.423,3600523,5937.029526
Algeria,Africa,1952,43.077,9279525,2449.008185
Algeria,Africa,1957,45.685,10270856,3013.976023
Algeria,Africa,1962,48.303,11000948,2550.81688
Algeria,Africa,1967,51.407,12760499,3246.991771
Algeria,Africa,1972,54.518,14760787,4182.663766
Algeria,Africa,1977,58.014,17152804,4910.416756
Algeria,Africa,1982,61.368,20033753,5745.160213
Algeria,Africa,1987,65.799,23254956,5681.358539
Algeria,Africa,1992,67.744,26298373,5023.216647
Algeria,Africa,1997,69.152,29072015,4797.295051
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,1952,30.015,4232095,3520.610273
Angola,Africa,1957,31.999,4561361,3827.940465
Angola,Africa,1962,34,4826015,4269.276742
Angola,Africa,1967,35.985,5247469,5522.776375
Angola,Africa,1972,37.928,5894858,5473.288005
Angola,Africa,1977,39.483,6162675,3008.647355
Angola,Africa,1982,39.942,7016384,2756.953672
Angola,Africa,1987,39.906,7874230,2430.208311
Angola,Africa,1992,40.647,8735988,2627.845685
Angola,Africa,1997,40.963,9875024,2277.140884
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Argentina,Americas,1952,62.485,17876956,5911.315053
Argentina,Americas,1957,64.399,19610538,6856.856212
Argentina,Americas,1962,65.142,21283783,7133.166023
Argentina,Americas,1967,65.634,22934225,8052.953021
Argentina,Americas,1972,67.065,24779799,9443.038526
Argentina,Americas,1977,68.481,26983828,10079.02674
Argentina,Americas,1982,69.942,29341374,8997.897412
Argentina,Americas,1987,70.774,31620918,9139.671389
Argentina,Americas,1992,71.868,33958947,9308.41871
Argentina,Americas,1997,73.275,36203463,10967.28195
Argentina,Americas,2002,74.34,38331121,8797.640716
Argentina,Americas,2007,75.32,40301927,12779.37964
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2007,81.235,20434176,34435.36744
Austria,Europe,1952,66.8,6927772,6137.076492
Austria,Europe,1957,67.48,6965860,8842.59803
Austria,Europe,1962,69.54,7129864,10750.72111
Austria,Europe,1967,70.14,7376998,12834.6024
Austria,Europe,1972,70.63,7544201,16661.6256
Austria,Europe,1977,72.17,7568430,19749.4223
Austria,Europe,1982,73.18,7574613,21597.08362
Austria,Europe,1987,74.94,7578903,23687.82607
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1997,77.51,8069876,29095.92066
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2007,79.829,8199783,36126.4927
Bahrain,Asia,1952,50.939,120447,9867.084765
Bahrain,Asia,1957,53.832,138655,11635.79945
Bahrain,Asia,1962,56.923,171863,12753.27514
Bahrain,Asia,1967,59.923,202182,14804.6727
Bahrain,Asia,1972,63.3,230800,18268.65839
Bahrain,Asia,1977,65.593,297410,19340.10196
Bahrain,Asia,1982,69.052,377967,19211.14731
Bahrain,Asia,1987,70.75,454612,18524.02406
Bahrain,Asia,1992,72.601,529491,19035.57917
Bahrain,Asia,1997,73.925,598561,20292.01679
Bahrain,Asia,2002,74.795,656397,23403.55927
Bahrain,Asia,2007,75.635,708573,29796.04834
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Bangladesh,Asia,1957,39.348,51365468,661.6374577
Bangladesh,Asia,1962,41.216,56839289,686.3415538
Bangladesh,Asia,1967,43.453,62821884,721.1860862
Bangladesh,Asia,1972,45.252,70759295,630.2336265
Bangladesh,Asia,1977,46.923,80428306,659.8772322
Bangladesh,Asia,1982,50.009,93074406,676.9818656
Bangladesh,Asia,1987,52.819,103764241,751.9794035
Bangladesh,Asia,1992,56.018,113704579,837.8101643
Bangladesh,Asia,1997,59.412,123315288,972.7700352
Bangladesh,Asia,2002,62.013,135656790,1136.39043
Bangladesh,Asia,2007,64.062,150448339,1391.253792
Belgium,Europe,1952,68,8730405,8343.105127
Belgium,Europe,1957,69.24,8989111,9714.960623
Belgium,Europe,1962,70.25,9218400,10991.20676
Belgium,Europe,1967,70.94,9556500,13149.04119
Belgium,Europe,1972,71.44,9709100,16672.14356
Belgium,Europe,1977,72.8,9821800,19117.97448
Belgium,Europe,1982,73.93,9856303,20979.84589
Belgium,Europe,1987,75.35,9870200,22525.56308
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1997,77.53,10199787,27561.19663
Belgium,Europe,2002,78.32,10311970,30485.88375
Belgium,Europe,2007,79.441,10392226,33692.60508
Benin,Africa,1952,38.223,1738315,1062.7522
Benin,Africa,1957,40.358,1925173,959.6010805
Benin,Africa,1962,42.618,2151895,949.4990641
Benin,Africa,1967,44.885,2427334,1035.831411
Benin,Africa,1972,47.014,2761407,1085.796879
Benin,Africa,1977,49.19,3168267,1029.161251
Benin,Africa,1982,50.904,3641603,1277.897616
Benin,Africa,1987,52.337,4243788,1225.85601
Benin,Africa,1992,53.919,4981671,1191.207681
Benin,Africa,1997,54.777,6066080,1232.975292
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Bolivia,Americas,1952,40.414,2883315,2677.326347
Bolivia,Americas,1957,41.89,3211738,2127.686326
Bolivia,Americas,1962,43.428,3593918,2180.972546
Bolivia,Americas,1967,45.032,4040665,2586.886053
Bolivia,Americas,1972,46.714,4565872,2980.331339
Bolivia,Americas,1977,50.023,5079716,3548.097832
Bolivia,Americas,1982,53.859,5642224,3156.510452
Bolivia,Americas,1987,57.251,6156369,2753.69149
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bolivia,Americas,1997,62.05,7693188,3326.143191
Bolivia,Americas,2002,63.883,8445134,3413.26269
Bolivia,Americas,2007,65.554,9119152,3822.137084
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cambodia,Asia,1957,41.366,5322536,434.0383364
Cambodia,Asia,1962,43.415,6083619,496.9136476
Cambodia,Asia,1967,45.415,6960067,523.4323142
Cambodia,Asia,1972,40.317,7450606,421.6240257
Cambodia,Asia,1977,31.22,6978607,524.9721832
Cambodia,Asia,1982,50.957,7272485,624.4754784
Cambodia,Asia,1987,53.914,8371791,683.8955732
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cambodia,Asia,1997,56.534,11782962,734.28517
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
Chile,Americas,1952,54.745,6377619,3939.978789
Chile,Americas,1957,56.074,7048426,4315.622723
Chile,Americas,1962,57.924,7961258,4519.094331
Chile,Americas,1967,60.523,8858908,5106.654313
Chile,Americas,1972,63.441,9717524,5494.024437
Chile,Americas,1977,67.052,10599793,4756.763836
Chile,Americas,1982,70.565,11487112,5095.665738
Chile,Americas,1987,72.492,12463354,5547.063754
Chile,Americas,1992,74.126,13572994,7596.125964
Chile,Americas,1997,75.816,14599929,10118.05318
Chile,Americas,2002,77.86,15497046,10778.78385
Chile,Americas,2007,78.553,16284741,13171.63885
China,Asia,1952,44,556263527,400.448611
China,Asia,1957,50.54896,637408000,575.9870009
China,Asia,1962,44.50136,665770000,487.6740183
China,Asia,1967,58.38112,754550000,612.7056934
China,Asia,1972,63.11888,862030000,676.9000921
China,Asia,1977,63.96736,943455000,741.2374699
China,Asia,1982,65.525,1000281000,962.4213805
China,Asia,1987,67.274,1084035000,1378.904018
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
Colombia,Americas,1952,50.643,12350771,2144.115096
Colombia,Americas,1957,55.118,14485993,2323.805581
Colombia,Americas,1962,57.863,17009885,2492.351109
Colombia,Americas,1967,59.963,19764027,2678.729839
Colombia,Americas,1972,61.623,22542890,3264.660041
Colombia,Americas,1977,63.837,25094412,3815.80787
Colombia,Americas,1982,66.653,27764644,4397.575659
Colombia,Americas,1987,67.768,30964245,4903.2191
Colombia,Americas,1992,68.421,34202721,5444.648617
Colombia,Americas,1997,70.313,37657830,6117.361746
Colombia,Americas,2002,71.682,41008227,5755.259962
Colombia,Americas,2007,72.889,44227550,7006.580419
Egypt,Africa,1952,41.893,22223309,1418.822445
Egypt,Africa,1957,44.444,25009741,1458.915272
Egypt,Africa,1962,46.992,28173309,1693.335853
Egypt,Africa,1967,49.293,31681188,1814.880728
Egypt,Africa,1972,51.137,34807417,2024.008147
Egypt,Africa,1977,53.319,38783863,2785.493582
Egypt,Africa,1982,56.006,45681811,3503.729636
Egypt,Africa,1987,59.797,52799062,3885.46071
Egypt,Africa,1992,63.674,59402198,3794.755195
Egypt,Africa,1997,67.217,66134291,4173.181797
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
France,Europe,1952,67.41,42459667,7029.809327
France,Europe,1957,68.93,44310863,8662.834898
France,Europe,1962,70.51,47124000,10560.48553
France,Europe,1967,71.55,49569000,12999.91766
France,Europe,1972,72.38,51732000,16107.19171
France,Europe,1977,73.83,53165019,18292.63514
France,Europe,1982,74.89,54433565,20293.89746
France,Europe,1987,76.34,55630100,22066.44214
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1997,78.64,58623428,25889.78487
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2007,80.657,61083916,30470.0167
Germany,Europe,1952,67.5,69145952,7144.114393
Germany,Europe,1957,69.1,71019069,10187.82665
Germany,Europe,1962,70.3,73739117,12902.46291
Germany,Europe,1967,70.8,76368453,14745.62561
Germany,Europe,1972,71,78717088,18016.18027
Germany,Europe,1977,72.5,78160773,20512.92123
Germany,Europe,1982,73.8,78335266,22031.53274
Germany,Europe,1987,74.847,77718298,24639.18566
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1997,77.34,82011073,27788.88416
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2007,79.406,82400996,32170.37442
Ghana,Africa,1952,43.149,5581001,911.2989371
Ghana,Africa,1957,44.779,6391288,1043.561537
Ghana,Africa,1962,46.452,7355248,1190.041118
Ghana,Africa,1967,48.072,8490213,1125.69716
Ghana,Africa,1972,49.875,9354120,1178.223708
Ghana,Africa,1977,51.756,10538093,993.2239571
Ghana,Africa,1982,53.744,11400338,876.032569
Ghana,Africa,1987,55.729,14168101,847.0061135
Ghana,Africa,1992,57.501,16278738,925.060154
Ghana,Africa,1997,58.556,18418288,1005.245812
Ghana,Africa,2002,58.453,20550751,1111.984578
Ghana,Africa,2007,60.022,22873338,1327.60891
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
India,Asia,1962,43.605,454000000,658.3471509
India,Asia,1967,47.193,506000000,700.7706107
India,Asia,1972,50.651,567000000,724.032527
India,Asia,1977,54.208,634000000,813.337323
India,Asia,1982,56.596,708000000,855.7235377
India,Asia,1987,58.553,788000000,976.5126756
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Indonesia,Asia,1952,37.468,82052000,749.6816546
Indonesia,Asia,1957,39.918,90124000,858.9002707
Indonesia,Asia,1962,42.518,99028000,849.2897701
Indonesia,Asia,1967,45.964,109343000,762.4317721
Indonesia,Asia,1972,49.203,121282000,1111.107907
Indonesia,Asia,1977,52.702,136725000,1382.702056
Indonesia,Asia,1982,56.159,153343000,1516.872988
Indonesia,Asia,1987,60.137,169276000,1748.356961
Indonesia,Asia,1992,62.681,184816000,2383.140898
Indonesia,Asia,1997,66.041,199278000,3119.335603
Indonesia,Asia,2002,68.588,211060000,2873.91287
Indonesia,Asia,2007,70.65,223547000,3540.651564
Iran,Asia,1952,44.869,17272000,3035.326002
Iran,Asia,1957,47.181,19792000,3290.257643
Iran,Asia,1962,49.325,22874000,4187.329802
Iran,Asia,1967,52.469,26538000,5906.731805
Iran,Asia,1972,55.234,30614000,9613.818607
Iran,Asia,1977,57.702,35480679,11888.59508
Iran,Asia,1982,59.62,43072751,7608.334602
Iran,Asia,1987,63.04,51889696,6642.881371
Iran,Asia,1992,65.742,60397973,7235.653188
Iran,Asia,1997,68.042,63327987,8263.590301
Iran,Asia,2002,69.451,66907826,9240.761975
Iran,Asia,2007,70.964,69453570,11605.71449
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Kenya,Africa,1952,42.27,6464046,853.540919
Kenya,Africa,1957,44.686,7454779,944.4383152
Kenya,Africa,1962,47.949,8678557,896.9663732
Kenya,Africa,1967,50.654,10191512,1056.736457
Kenya,Africa,1972,53.559,12044785,1222.359968
Kenya,Africa,1977,56.155,14500404,1267.613204
Kenya,Africa,1982,58.766,17661452,1348.225791
Kenya,Africa,1987,59.339,21198082,1361.936856
Kenya,Africa,1992,59.285,25020539,1341.921721
Kenya,Africa,1997,54.407,28263827,1360.485021
Kenya,Africa,2002,50.992,31386842,1287.514732
Kenya,Africa,2007,54.11,35610177,1463.249282
Malaysia,Asia,1952,48.463,6748378,1831.132894
Malaysia,Asia,1957,52.102,7739235,1810.066992
Malaysia,Asia,1962,55.737,8906385,2036.884944
Malaysia,Asia,1967,59.371,10154878,2277.742396
Malaysia,Asia,1972,63.01,11441462,2849.09478
Malaysia,Asia,1977,65.256,12845381,3827.921571
Malaysia,Asia,1982,68,14441916,4920.355951
Malaysia,Asia,1987,69.5,16331785,5249.802653
Malaysia,Asia,1992,70.693,18319502,7277.912802
Malaysia,Asia,1997,71.938,20476091,10132.90964
Malaysia,Asia,2002,73.044,22662365,10206.97794
Malaysia,Asia,2007,74.241,24821286,12451.6558
Mexico,Americas,1952,50.789,30144317,3478.125529
Mexico,Americas,1957,55.19,35015548,4131.546641
Mexico,Americas,1962,58.299,41121485,4581.609385
Mexico,Americas,1967,60.11,47995559,5754.733883
Mexico,Americas,1972,62.361,55984294,6809.40669
Mexico,Americas,1977,65.032,63759976,7674.929108
Mexico,Americas,1982,67.405,71640904,9611.147541
Mexico,Americas,1987,69.498,80122492,8688.156003
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
Morocco,Africa,1952,42.873,9939217,1688.20357
Morocco,Africa,1957,45.423,11406350,1642.002314
Morocco,Africa,1962,47.924,13056604,1566.353493
Morocco,Africa,1967,50.335,14770296,1711.04477
Morocco,Africa,1972,52.862,16660670,1930.194975
Morocco,Africa,1977,55.73,18396941,2370.619976
Morocco,Africa,1982,59.65,20198730,2702.620356
Morocco,Africa,1987,62.677,22987397,2755.046991
Morocco,Africa,1992,65.393,25798239,2948.047252
Morocco,Africa,1997,67.66,28529501,2982.101858
Morocco,Africa,2002,69.615,31167783,3258.495584
Morocco,Africa,2007,71.164,33757175,3820.17523
Nigeria,Africa,1952,36.324,33119096,1077.281856
Nigeria,Africa,1957,37.802,37173340,1100.592563
Nigeria,Africa,1962,39.36,41871351,1150.927478
Nigeria,Africa,1967,41.04,47287752,1014.514104
Nigeria,Africa,1972,42.821,53740085,1698.388838
Nigeria,Africa,1977,44.514,62209173,1981.951806
Nigeria,Africa,1982,45.826,73039376,1576.97375
Nigeria,Africa,1987,46.886,81551520,1385.029563
Nigeria,Africa,1992,47.472,93364244,1619.848217
Nigeria,Africa,1997,47.464,106207839,1624.941275
Nigeria,Africa,2002,46.608,119901274,1615.286395
Nigeria,Africa,2007,46.859,135031164,2013.977305
Pakistan,Asia,1952,43.436,41346560,684.5971438
Pakistan,Asia,1957,45.557,46679944,747.0835292
Pakistan,Asia,1962,47.67,53100671,803.3427418
Pakistan,Asia,1967,49.8,60641899,942.4082588
Pakistan,Asia,1972,51.929,69325921,1049.938981
Pakistan,Asia,1977,54.043,78152686,1175.921193
Pakistan,Asia,1982,56.158,91462088,1443.429832
Pakistan,Asia,1987,58.245,105186881,1704.686583
Pakistan,Asia,1992,60.838,120065004,1971.829464
Pakistan,Asia,1997,61.818,135564834,2049.350521
Pakistan,Asia,2002,63.61,153403524,2092.712441
Pakistan,Asia,2007,65.483,169270617,2605.94758
Philippines,Asia,1952,47.752,22438691,1272.880995
Philippines,Asia,1957,51.334,26072194,1547.944844
Philippines,Asia,1962,54.757,30325264,1649.552153
Philippines,Asia,1967,56.393,35356600,1814.12743
Philippines,Asia,1972,58.065,40850141,1989.37407
Philippines,Asia,1977,60.06,46850962,2373.204287
Philippines,Asia,1982,62.082,53456774,2603.273765
Philippines,Asia,1987,64.151,60017788,2189.634995
Philippines,Asia,1992,66.458,67185766,2279.324017
Philippines,Asia,1997,68.564,75012988,2536.534925
Philippines,Asia,2002,70.303,82995088,2650.921068
Philippines,Asia,2007,71.688,91077287,3190.481016
South Africa,Africa,1952,45.009,14264935,4725.295531
South Africa,Africa,1957,47.985,16151549,5487.104219
South Africa,Africa,1962,49.951,18356657,5768.729717
South Africa,Africa,1967,51.927,20997321,7114.477971
South Africa,Africa,1972,53.696,23935810,7765.962636
South Africa,Africa,1977,55.527,27129932,8028.651439
South Africa,Africa,1982,58.161,31140029,8568.266228
South Africa,Africa,1987,60.834,35933379,7825.823398
South Africa,Africa,1992,61.888,39964159,7225.069258
South Africa,Africa,1997,60.236,42835005,7479.188244
South Africa,Africa,2002,53.365,44433622,7710.946444
South Africa,Africa,2007,49.339,43997828,9269.657808
Thailand,Asia,1952,50.848,21289402,757.7974177
Thailand,Asia,1957,53.63,25041917,793.5774148
Thailand,Asia,1962,56.061,29263397,1002.199172
Thailand,Asia,1967,58.285,34024249,1295.46066
Thailand,Asia,1972,60.405,39276153,1524.358936
Thailand,Asia,1977,62.494,44148285,1961.224635
Thailand,Asia,1982,64.597,48827160,2393.219781
Thailand,Asia,1987,66.084,52910342,2982.653773
Thailand,Asia,1992,67.298,56667095,4616.896545
Thailand,Asia,1997,67.521,60216677,5852.625497
Thailand,Asia,2002,68.564,62806748,5913.187529
Thailand,Asia,2007,70.616,65068149,7458.396327
United Kingdom,Europe,1952,69.18,50430000,9979.508487
United Kingdom,Europe,1957,70.42,51430000,11283.17795
United Kingdom,Europe,1962,70.76,53292000,12477.17707
United Kingdom,Europe,1967,71.36,54959000,14142.85089
United Kingdom,Europe,1972,72.01,56079000,15895.11641
United Kingdom,Europe,1977,72.76,56179000,17428.74846
United Kingdom,Europe,1982,74.04,56339704,18232.42452
United Kingdom,Europe,1987,75.007,56981620,21664.78767
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United Kingdom,Europe,1997,77.218,58808266,26074.53136
United Kingdom,Europe,2002,78.471,59912431,29478.99919
United Kingdom,Europe,2007,79.425,60776238,33203.26128
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1957,69.49,171984000,14847.12712
United States,Americas,1962,70.21,186538000,16173.14586
United States,Americas,1967,70.76,198712000,19530.36557
United States,Americas,1972,71.34,209896000,21806.03594
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,1982,74.65,232187835,25009.55914
United States,Americas,1987,75.02,242803533,29884.35041
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2007,78.242,301139947,42951.65309
Vietnam,Asia,1952,40.412,26246839,605.0664917
Vietnam,Asia,1957,42.887,28998543,676.2854478
Vietnam,Asia,1962,45.363,33796140,772.0491602
Vietnam,Asia,1967,47.838,39463910,637.1232887
Vietnam,Asia,1972,50.254,44655014,699.5016441
Vietnam,Asia,1977,55.764,50533506,713.5371196
Vietnam,Asia,1982,58.816,56142181,707.2357863
Vietnam,Asia,1987,62.82,62826491,820.7994449
Vietnam,Asia,1992,67.662,69940728,989.0231487
Vietnam,Asia,1997,70.672,76048996,1385.896769
Vietnam,Asia,2002,73.017,80908147,1764.456677
Vietnam,Asia,2007,74.249,85262356,2441.576404